8915,86211,86409,89812,842302,844359,845636,852552,853201,854253,857010,858477,859465,861853,871122,877989,879523,883263,883539,884437,884448,891936,896864,897630,898431,899987,901011,901041,905539,907409,913505,914062,916799,917897,919812,921386,921644,923780,924934,925291,927241,8711202,8711803,8712766,8812818,8812877,84358402,85382601,85759902,86973701,89263202,89511501,90401602,91376702,91544002,901034302,911320502
85715,87880,89869,90312,849014,853401,855625,857373,857810,858970,859711,861597,863270,864033,864685,866458,866714,867739,868223,871201,879804,888570,892657,897880,898677,901315,903507,906878,907914,908469,913063,915691,917896,922296,922577,924632,925311,8710441,8712064,8810528,8811842,8910251,8910506,8911164,8911800,9010598,9012795,9013005,9110944,9113156,84501001,84799002,88203002,89143602,91376701,91594602,911157302
86517,87106,87127,89296,91485,852781,852973,854002,857374,862548,862980,865468,868871,869224,869254,871642,872608,874217,879830,886452,889719,893548,893988,894089,894329,894855,901028,902975,904971,905680,906539,907367,911384,911408,914333,915664,916221,918192,919537,923748,926125,926954,8611161,8611555,8712853,8810436,8812844,8912909,87281702,88147202,88206102,88299702,88330202,88350402,88466802,89382602,90401601
89346,90745,842517,846381,848406,857155,861648,862261,864292,864496,865137,866083,866674,873357,873701,873843,874839,884626,892214,892399,893061,897604,901088,905189,905557,906616,909220,911201,911654,913102,915460,916838,919555,921362,924342,926424,8610404,8810703,8812816,8910720,8910988,8912284,8912521,9010018,9010333,9010872,9111596,9112085,9112366,9113538,86973702,88119002,89742801,91762702,91903902,911296201,911320501
8670,8913,91858,854941,859487,861598,862965,863030,864729,868682,868826,869218,874158,875878,877159,877500,888264,892604,893783,894090,894335,894604,898143,898678,901549,903516,904647,907145,908194,908489,908916,911685,915186,915452,925622,926682,8510824,8610908,8611792,8911163,8911230,8911670,8911834,8912049,8912280,9010259,9113514,85713702,86135501,87556202,88518501,88725602,91813701,91813702,91930402,871001501,911296202
9047,86561,89122,89344,89827,91227,91505,91789,854039,855138,857637,858981,859196,859983,862028,863031,865128,868999,869691,878796,884180,885429,891703,898690,901836,903483,904689,904969,905190,905686,905978,911202,912558,917080,921092,922297,922840,924084,925236,925277,925292,8610175,8711002,8711216,8711561,8712289,8712729,8910499,8910748,9011494,9012000,9112367,9112594,9112712,88147101,88249602,89864002
87164,90250,91550,92751,843786,856106,857156,859464,859717,861799,862485,864877,868202,871149,873885,874373,881861,882488,883852,887181,893526,897137,899187,903811,905520,907915,911150,913512,914769,915143,915276,915940,923169,923465,8511133,8612080,8612399,8712291,8810158,8912055,9010258,9010877,9011495,9011971,9012568,9013838,9111843,84348301,84458202,84610002,85638502,85922302,86730502,88199202,89143601,90439701,91544001
86408,89524,89813,91504,844981,853612,854268,857392,857438,858986,859471,859575,864726,865432,869104,873593,875093,875099,875938,884689,884948,889403,891716,895299,896839,897132,901288,903554,904302,904357,905501,906290,909445,911673,912519,912600,913535,914580,918465,922576,924964,8610629,8610637,8610862,8813129,8860702,8910721,8913049,9012315,9013594,9110127,9110732,9111805,9113239,9113816,90769602,881094802
86355,87163,87930,90251,90291,852631,852763,855133,859283,861103,862717,864018,866203,869476,869931,871641,872113,873586,874662,881972,883270,886226,891923,894047,894326,897374,899147,899667,901303,905502,906564,908445,909410,909411,909777,911366,911391,914101,914102,914366,914862,917092,921385,8510653,8811779,9110720,84667401,84862001,86135502,88411702,88995002,89511502,90524101,90602302,90944601,871001502,881046502
86208,91805,846226,851509,855167,855563,857343,857793,862009,862722,862989,865423,867387,873592,874858,875263,877486,877501,886776,887549,891670,892189,892438,894618,895100,895633,902727,902976,903011,906024,909231,911916,912193,917062,8510426,8711003,8810955,8810987,8811523,8910996,8953902,9013579,9113455,9113778,9113846,84300903,87139402,88143502,88147102,88649001,89382601,90317302,90769601,91903901,91979701,901034301
